Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
Dijkstra's,NoSolution,false,84681,31732,1.000000,52.945438,5.001000,291,0.271000
Dijkstra's,NoSolution,false,190969,31769,1.000000,29.623730,5.001000,437,0.619000
Dijkstra's,NoSolution,false,430336,31969,1.000000,16.075584,5.001000,656,1.383000
Best First,None,true,100,39,1.000000,98.994949,0.000000,10,0.000000
Best First,None,true,121,44,1.000000,102.851883,0.000000,11,0.000000
Best First,None,true,289,64,1.000000,99.826820,0.000000,17,0.000000
Best First,None,true,625,94,1.000000,101.823357,0.000000,25,0.000000
Best First,None,true,1444,139,1.000000,100.483559,0.000000,38,0.001000
Best First,None,true,3249,204,1.000000,99.243088,0.000000,57,0.001000
Best First,None,true,7396,309,1.000000,100.310471,0.000000,86,0.002000
Best First,None,true,16641,454,1.000000,98.666138,0.000000,129,0.006000
Best First,None,true,37636,679,1.000000,98.411674,0.001000,194,0.011000
Best First,None,true,84681,1024,1.000000,99.140869,0.000000,291,0.028000
Best First,None,true,190969,1534,1.000000,99.027115,0.001000,437,0.063000
Best First,None,true,430336,2299,1.000000,98.952065,0.002000,656,0.139000
Best First,Sparse,true,100,37,1.000000,104.852814,0.000000,10,0.000000
Best First,Sparse,true,121,46,1.000000,108.177216,0.000000,11,0.000000
Best First,Sparse,true,289,62,1.000000,103.272629,0.000000,17,0.000000
Best First,Sparse,true,625,90,1.000000,106.509651,0.000000,25,0.001000
Best First,Sparse,true,1444,135,1.000000,105.108185,0.000000,38,0.002000
Best First,Sparse,true,3249,197,1.000000,103.353867,0.000000,57,0.005000
Best First,Sparse,true,7396,295,1.000000,104.679489,0.000000,86,0.011000
Best First,Sparse,true,16641,447,1.000000,103.583298,0.000000,129,0.025000
Best First,Sparse,true,37636,657,1.000000,102.587204,0.000000,194,0.056000
Best First,Sparse,true,84681,1008,1.000000,103.701729,0.000000,291,0.126000
Best First,Sparse,true,190969,1515,1.000000,103.515747,0.002000,437,0.283000
Best First,Sparse,true,430336,2297,1.000000,103.355545,0.003000,656,0.625000
Best First,Dense,true,100,32,1.000000,104.852814,0.000000,10,0.001000
Best First,Dense,true,121,45,1.000000,108.177223,0.000000,11,0.000000
Best First,Dense,true,289,57,1.000000,103.272629,0.000000,17,0.001000
Best First,Dense,true,625,83,1.000000,109.823357,0.000000,25,0.001000
Best First,Dense,true,1444,127,1.000000,105.108185,0.000000,38,0.004000
Best First,Dense,true,3249,188,1.000000,104.807251,0.000000,57,0.009000
Best First,Dense,true,7396,278,1.000000,104.679489,0.000000,86,0.019000
Best First,Dense,true,16641,429,1.000000,103.583298,0.000000,129,0.041000
Best First,Dense,true,37636,629,1.000000,102.587204,0.001000,194,0.098000
Best First,Dense,true,84681,978,1.000000,103.701729,0.001000,291,0.217000
Best First,Dense,true,190969,1465,1.000000,103.326187,0.001000,437,0.492000
Best First,Dense,true,430336,2249,1.000000,103.229248,0.002000,656,1.109000
Best First,Wall,true,100,55,1.000000,167.279221,0.000000,10,0.001000
Best First,Wall,true,121,64,1.000000,170.253845,0.000000,11,0.000000
Best First,Wall,true,289,105,1.000000,158.650375,0.000000,17,0.001000
Best First,Wall,true,625,176,1.000000,169.137115,0.000000,25,0.002000
Best First,Wall,true,1444,304,1.000000,168.640137,0.000000,38,0.005000
Best First,Wall,true,3249,513,1.000000,161.799042,0.001000,57,0.009000
Best First,Wall,true,7396,985,1.000000,165.426819,0.002000,86,0.022000
Best First,Wall,true,16641,1954,1.000000,164.424316,0.011000,129,0.049000
Best First,Wall,true,37636,3929,1.000000,164.464188,0.046000,194,0.114000
Best First,Wall,true,84681,8127,1.000000,165.855896,0.214000,291,0.251000
Best First,Wall,true,190969,17045,1.000000,165.800919,0.971000,437,0.569000
Best First,Wall,true,430336,37087,1.000000,165.651657,4.984000,656,1.284000
Best First,NoSolution,false,100,66,1.000000,0.000000,0.000000,10,0.001000
Best First,NoSolution,false,121,78,1.000000,0.000000,0.000000,11,0.000000
Best First,NoSolution,false,289,187,1.000000,0.000000,0.001000,17,0.000000
Best First,NoSolution,false,625,398,1.000000,0.000000,0.001000,25,0.002000
Best First,NoSolution,false,1444,925,1.000000,0.000000,0.005000,38,0.004000
Best First,NoSolution,false,3249,2080,1.000000,0.000000,0.019000,57,0.010000
Best First,NoSolution,false,7396,4738,1.000000,0.000000,0.092000,86,0.024000
Best First,NoSolution,false,16641,10656,1.000000,0.000000,0.450000,129,0.053000
Best First,NoSolution,false,37636,24120,1.000000,0.000000,2.299000,194,0.120000
Best First,NoSolution,false,84681,36174,1.000000,0.000000,5.001000,291,0.272000
Best First,NoSolution,false,190969,36538,1.000000,0.000000,5.001000,437,0.614000
Best First,NoSolution,false,430336,36955,1.000000,0.000000,5.001000,656,1.379000
Uniform Cost,None,true,100,99,1.000000,98.994949,0.000000,10,0.000000
Uniform Cost,None,true,121,120,1.000000,102.851883,0.000000,11,0.000000
Uniform Cost,None,true,289,255,1.000000,99.826820,0.000000,17,0.000000
Uniform Cost,None,true,625,528,1.000000,101.823357,0.000000,25,0.001000
Uniform Cost,None,true,1444,1155,1.000000,100.483559,0.000000,38,0.002000
Uniform Cost,None,true,3249,2499,1.000000,99.243088,0.003000,57,0.000000
Uniform Cost,None,true,7396,5624,1.000000,100.310471,0.009000,86,0.003000
Uniform Cost,None,true,16641,12320,1.000000,98.666138,0.035000,129,0.005000
Uniform Cost,None,true,37636,27555,1.000000,98.411674,0.156000,194,0.011000
Uniform Cost,None,true,84681,62000,1.000000,99.140869,0.764000,291,0.027000
Uniform Cost,None,true,190969,139128,1.000000,99.027115,3.738000,437,0.061000
Uniform Cost,None,false,430336,161433,1.000000,0.000000,5.001000,656,0.141000
Uniform Cost,Sparse,true,100,90,1.000000,104.852814,0.000000,10,0.000000
Uniform Cost,Sparse,true,121,117,1.000000,108.177223,0.000000,11,0.000000
Uniform Cost,Sparse,true,289,272,1.000000,103.272629,0.000000,17,0.000000
Uniform Cost,Sparse,true,625,567,1.000000,106.509651,0.001000,25,0.001000
Uniform Cost,Sparse,true,1444,1255,1.000000,105.108185,0.001000,38,0.002000
Uniform Cost,Sparse,true,3249,2694,1.000000,103.353874,0.003000,57,0.005000
Uniform Cost,Sparse,true,7396,5953,1.000000,103.716194,0.010000,86,0.010000
Uniform Cost,Sparse,true,16641,13220,1.000000,102.298912,0.039000,129,0.024000
